# Hebrew Wordnet	heb	http://cl.haifa.ac.il/projects/mwn/index.shtml	wordnet
00001740-n	lemma	ישות
00001740-n	def	כל דבר שיש לו קיום
00002137-n	lemma	הפשטה
00002137-n	def	מושג כללי שמגיעים אליו על ידי הכללה מדברים קונקרטיים
00002684-n	lemma	אוביקט
00002684-n	lemma	חפץ
00002684-n	def	דבר בעל מהות פיזית, שניתן לחוש בו
00003431-v	lemma	גהק
00003431-v	def	הוציא גזים מהקיבה דרך הפה; "בסין זה נחשב מנומס לגהק בשעת הארוחה"
00003553-n	lemma	מכלול
00003553-n	def	אוסף של חלקים שמתייחסים אליהם כאל ישות אחת; "מה גודלו של חלק זה ביחס למכלול?"
00003826-v	lemma	שהק
00003826-v	def	השמיע קול אופייני להתכווצות לא רצונית של הסרעפת עקב בעיות עיכול או שיכרות; "כשאתה מתחיל לשהק, תשתה כוס מים, וזה יעבור"
00004227-v	lemma	נפח
00004227-v	lemma	נשף
00004227-v	def	הוציא אוויר דרך הפה או האף; "קח נשימה עמוקה ונשוף את כל האוויר החוצה"
00004475-n	lemma	חי
00004475-n	def	כל ישות שיש בה רוח (בעלי חיים ובני אדם), בניגוד לצומח ולדומם
00004819-v	lemma	התעטש
00004819-v	def	הוציא אויר בפתאומיות מן האף והפה, כמו בעת הצטננות או גירוי באף
00005041-v	lemma	שאף
00005041-v	def	הכניס אוויר לריאות; "בזמן ביצוע תרגילי התעמלות, יש להקפיד לשאוף ולנשוף בזמן"
00005815-v	lemma	השתעל
00005815-v	def	הוציא אויר מהריאות בקול ובמהירות, כמו בזמן הצטננות או דלקת גרון
00006032-a	lemma	יחסי
00006032-a	def	שאיננו מוחלט
00006269-n	lemma	חיים
00006269-n	def	יצורים חיים באופן כללי; "האוקינוס שורץ חיים"
00006484-n	lemma	תא
00006484-n	def	היחידה המבנית והתפקודית הבסיסית של כל היצורים החיים; תאים יכולים להתקיים באופן עצמאי, כחלק ממושבה, או במסגרת רקמות של צמחים ובעלי חיים מסדר אבולוציוני גבוה יותר
00007015-r	lemma	כ
00007015-r	lemma	לערך
00007015-r	lemma	בערך
00007015-r	lemma	פחות-או-יותר
00007015-r	def	באופן לא מדויק, אך כמעט נכון; "הוא צריך להיות בן 40 בערך, למרות שהוא נראה צעיר בהרבה"
00007347-n	lemma	ישות-גורמת
00007347-n	def	באופן מופשט, כל דבר בעולם המהווה סיבה לדברים אחרים
00007846-n	lemma	מישהו
00007846-n	lemma	אדם
00007846-n	lemma	איש
00007846-n	def	"מישהו דופק בדלת"; "זה היה יותר מדי עבודה לאדם אחד"
00008007-r	lemma	לגמרי
00008007-r	lemma	לחלוטין
00008007-r	def	באופן מוחלט, ללא שיור; "אתה צודק לחלוטין, אין טעם להתווכח"
00008600-r	lemma	רק
00008600-r	lemma	בלבד
00008600-r	def	באופן בלעדי, בלי שאחרים מעורבים בכך; "בזמנו תרגמתי בשביל הרבה חברות, היום אני עובד עבור חברה אחת בלבד"
00011093-r	lemma	היטב
00011093-r	lemma	טוב
00011093-r	def	באופן משביע רצון, בצורה טובה; "לא ישנתי כל כך טוב הלילה"; "נאומו היה מנוסח היטב"
00012362-a	lemma	משגי
00012362-a	lemma	קונספטואלי
00012362-a	def	שייך למושגים או לעיצובם, או מאופיין על ידם; "הסכיזופרן מאבד את היכולת לחשיבה קונספטואלית או מופשטת"
00012932-a	lemma	!רעיוני
00013160-a	lemma	מוחש
00013160-a	lemma	מוחשי
00013160-a	lemma	קונקרטי
00013160-a	def	שניתן לתפסו בחושים; שאינו מופשט או דמיוני; "הצגת הדברים באופן כזה, נתנה ביטוי מוחשי לכל רגשותיהם העצורים"
00013887-a	lemma	שופע
00013887-a	def	שקיים בכמות גדולה; "היה לו חוש הומור שופע ונדיר"
00014034-v	lemma	!רעד
00015303-v	lemma	התנמנם
00015303-v	lemma	נמנם
00015303-v	def	ישן שינה קלה או לפרק זמן קצר; "אני לא ממש ישנתי, רק נימנמתי לי מעט"
00015388-n	lemma	בעל-חיים
00015388-n	lemma	חיה
00015388-n	def	יצור חי המתאפיין ביכולת תנועה עצמאית
00015471-r	lemma	מאה-אחוז
00015471-r	def	באופן מספק; "אל תדאג, בסוף היא תסדר מאה אחוז"
00017031-v	lemma	נחר
00017031-v	def	השמיע נחירות במהלך השינה
00017222-n	lemma	צמח
00017222-n	def	אורגניזם חי הגדל באדמה ומקבל את מזונו ממנה; חסר יכולת תנועה רצונית
00017639-r	lemma	אפלו
00017639-r	lemma	אף
00017639-r	def	מילה הבאה להדגיש כי משהו גדול בעצמתו ביחס למצופה; "אפילו הקיצוניים שבחבורה חשבו שזה היה מוגזם"
00018781-r	lemma	למדי
00018781-r	lemma	די
00018781-r	def	במידה מסוימת, אך לא במידה רבה; "האוכל פה טעים למדי, אם כי לא מדהים"
00019128-n	lemma	עצם-טבעי
00019128-n	def	אובייקט שנמצא בטבע, שאינו מעשה ידי אדם
00020827-n	lemma	עצם
